id,idEmprego,idHabilidade
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,6
7,2,7
8,2,8
9,2,9
10,2,10
11,3,3
12,3,6
13,3,11
14,3,12
15,3,5
16,4,13
17,4,14
18,4,4
19,4,9
20,5,15
21,5,11
22,5,1
23,5,9
24,6,16
25,6,17
26,6,14
27,6,4
28,7,17
29,7,10
30,7,15
31,8,9
32,8,14
33,8,18
34,8,11
35,8,19
36,9,12
37,9,20
38,9,8
39,9,9
40,10,15
41,10,21
42,10,13
43,10,19
44,10,4
45,11,15
46,11,9
47,11,14
48,12,17
49,12,16
50,12,9
51,12,19
52,13,1
53,13,9
54,13,22
55,14,13
56,14,14
57,14,23
58,15,2
59,15,9
60,15,16
61,15,21
62,16,4
63,16,23
64,16,6
65,17,1
66,17,5
67,17,24
68,18,15
69,18,2
70,18,19
71,19,20
72,19,12
73,19,17
74,19,9
75,19,24
76,20,11
77,20,13
78,20,5
79,20,10
80,20,18
81,21,6
82,21,7
83,21,19
84,22,1
85,22,24
86,22,5
87,22,22
88,22,2
89,23,12
90,23,20
91,23,1
92,24,20
93,24,12
94,24,10
95,25,7
96,25,19
97,25,20
98,25,14
99,25,18
100,26,4
101,26,20
102,26,1
103,26,3
104,26,16
105,27,12
106,27,4
107,27,20
108,27,13
109,28,8
110,28,3
111,28,22
112,28,1
113,28,2
114,29,9
115,29,13
116,29,5
117,29,8
118,29,20
119,30,19
120,30,9
121,30,18
122,30,3
123,30,22
124,31,6
125,31,21
126,31,7
127,31,4
128,31,1
129,32,19
130,32,9
131,32,24
132,33,5
133,33,13
134,33,9
135,34,1
136,34,19
137,34,21
138,34,4
139,34,9
140,35,17
141,35,21
142,35,15
143,35,4
144,36,20
145,36,12
146,36,16
147,37,16
148,37,1
149,37,7
150,37,8
151,37,9
152,38,4
153,38,2
154,38,14
155,38,23
156,39,1
157,39,10
158,39,21
159,40,18
160,40,19
161,40,1
162,41,16
163,41,19
164,41,24
165,41,15
