idEmprego,nmEmprego,nivelExp,idEmpresa,idLoc
1,AI Research Scientist,SE,211,4
2,AI Software Engineer,EN,235,3
3,AI Specialist,MI,48,18
4,NLP Engineer,SE,137,9
5,AI Consultant,EN,25,7
6,AI Architect,SE,173,8
7,Principal Data Scientist,MI,96,19
8,NLP Engineer,EN,68,7
9,Data Analyst,SE,202,15
10,AI Software Engineer,SE,67,2
11,Autonomous Systems Engineer,SE,224,17
12,AI Architect,EX,234,16
13,AI Consultant,SE,181,7
14,Autonomous Systems Engineer,EN,64,14
15,AI Research Scientist,SE,28,17
16,AI Product Manager,EN,92,19
17,Principal Data Scientist,EN,191,9
18,Machine Learning Engineer,EX,11,7
19,Data Engineer,SE,35,15
20,Research Scientist,MI,15,13
21,Data Engineer,MI,14,14
22,Autonomous Systems Engineer,MI,76,20
23,ML Ops Engineer,SE,196,8
24,AI Product Manager,MI,74,2
25,ML Ops Engineer,MI,8,4
26,Robotics Engineer,SE,97,11
27,ML Ops Engineer,MI,235,1
28,Data Analyst,MI,187,2
29,Head of AI,EN,83,10
30,ML Ops Engineer,MI,147,11
31,Head of AI,EN,27,13
32,Research Scientist,EN,71,5
33,Robotics Engineer,SE,86,18
34,ML Ops Engineer,EX,183,6
35,Deep Learning Engineer,SE,212,17
36,Head of AI,EX,50,6
37,AI Architect,MI,239,12
38,Robotics Engineer,EX,52,11
39,AI Specialist,EN,143,4
40,Data Engineer,EX,112,13
41,Data Scientist,MI,104,20
42,AI Architect,SE,95,20
43,AI Specialist,EN,209,6
44,Machine Learning Researcher,SE,12,15
45,ML Ops Engineer,SE,145,13
46,AI Research Scientist,SE,115,20
47,AI Research Scientist,EN,204,9
48,AI Software Engineer,MI,229,4
49,AI Specialist,EX,84,18
50,AI Consultant,EX,55,2
51,AI Architect,MI,232,8
52,Research Scientist,EX,58,9
53,Research Scientist,MI,81,20
54,Data Scientist,SE,92,14
55,Research Scientist,MI,205,11
56,AI Architect,MI,56,3
57,Autonomous Systems Engineer,MI,46,9
58,Machine Learning Engineer,EN,20,11
59,Machine Learning Engineer,MI,15,8
60,AI Software Engineer,SE,235,19
61,Data Scientist,EN,185,4
62,Data Scientist,SE,170,14
63,AI Consultant,MI,213,18
64,AI Software Engineer,MI,73,1
65,Data Engineer,EN,159,16
66,AI Specialist,SE,153,10
67,Autonomous Systems Engineer,MI,27,11
68,Machine Learning Engineer,EX,125,5
69,Machine Learning Researcher,EN,201,8
70,Principal Data Scientist,MI,88,7
71,NLP Engineer,MI,173,11
72,Autonomous Systems Engineer,SE,41,7
73,Machine Learning Researcher,MI,86,14
74,Autonomous Systems Engineer,SE,162,19
75,Data Engineer,EN,122,17
76,Data Engineer,EN,109,15
77,AI Product Manager,EX,199,3
78,ML Ops Engineer,MI,95,11
79,Computer Vision Engineer,SE,58,9
80,AI Research Scientist,EX,227,20
81,Data Analyst,EX,174,7
82,ML Ops Engineer,EX,231,1
83,Machine Learning Researcher,EX,79,3
84,NLP Engineer,MI,226,17
85,ML Ops Engineer,EX,239,6
86,NLP Engineer,EN,155,5
87,Autonomous Systems Engineer,EN,144,11
88,AI Specialist,EN,225,20
89,Principal Data Scientist,EX,1,7
90,AI Software Engineer,EN,131,7
91,Research Scientist,EN,181,3
92,Data Analyst,SE,43,7
93,Principal Data Scientist,SE,170,15
94,AI Research Scientist,MI,191,20
95,Machine Learning Researcher,EX,108,3
96,NLP Engineer,SE,84,11
97,Data Analyst,SE,193,7
98,NLP Engineer,MI,161,3
99,Machine Learning Researcher,EX,222,18
100,AI Research Scientist,SE,30,20
101,AI Product Manager,SE,77,14
102,AI Product Manager,EX,217,11
103,Data Analyst,MI,45,13
104,Computer Vision Engineer,MI,131,17
105,Data Engineer,EX,68,19
106,NLP Engineer,MI,2,12
107,AI Research Scientist,EX,226,16
108,ML Ops Engineer,MI,192,14
109,Deep Learning Engineer,MI,7,7
110,AI Specialist,MI,240,11
111,Machine Learning Researcher,EX,183,20
112,AI Architect,EX,172,7
113,Computer Vision Engineer,SE,44,7
114,Data Scientist,SE,131,7
115,Machine Learning Researcher,SE,148,8
116,NLP Engineer,EN,57,20
117,ML Ops Engineer,EN,96,2
118,Data Analyst,SE,222,10
119,AI Software Engineer,EX,167,15
120,AI Product Manager,SE,31,1
121,AI Specialist,SE,205,2
122,Principal Data Scientist,EN,222,4
123,Machine Learning Engineer,MI,91,15
124,Machine Learning Researcher,EX,118,2
125,Machine Learning Researcher,MI,180,5
126,Data Engineer,EX,143,16
127,AI Product Manager,SE,107,5
128,Research Scientist,EN,165,18
129,AI Product Manager,EX,178,10
130,AI Software Engineer,EN,212,2
131,AI Specialist,SE,13,13
132,AI Software Engineer,EN,160,16
133,Autonomous Systems Engineer,EN,182,3
134,ML Ops Engineer,EX,40,7
135,AI Product Manager,EX,78,19
136,NLP Engineer,MI,73,6
137,Robotics Engineer,SE,219,14
138,Machine Learning Engineer,EX,164,5
139,AI Consultant,MI,122,7
140,Principal Data Scientist,SE,130,17
141,Data Scientist,MI,42,5
142,Autonomous Systems Engineer,EN,155,2
143,Machine Learning Researcher,MI,181,5
144,Deep Learning Engineer,EN,10,4
145,AI Product Manager,EX,220,2
146,Principal Data Scientist,MI,108,2
147,AI Research Scientist,EX,228,1
148,Machine Learning Researcher,EX,234,13
149,NLP Engineer,EN,113,6
150,AI Specialist,SE,203,20
151,NLP Engineer,MI,175,10
152,Deep Learning Engineer,MI,52,1
153,Data Analyst,EX,157,17
154,AI Research Scientist,MI,103,13
155,Machine Learning Researcher,EN,212,3
156,Head of AI,MI,37,4
157,AI Research Scientist,SE,130,6
158,NLP Engineer,MI,105,14
159,ML Ops Engineer,SE,59,14
160,AI Software Engineer,EX,127,13
161,Principal Data Scientist,EX,130,5
162,Research Scientist,SE,54,3
163,AI Software Engineer,MI,152,11
164,AI Architect,SE,18,8
165,ML Ops Engineer,SE,148,20
166,ML Ops Engineer,EN,51,3
167,NLP Engineer,MI,222,14
168,AI Software Engineer,EN,98,16
169,Head of AI,MI,60,8
170,Data Engineer,EX,115,3
171,Deep Learning Engineer,EX,51,15
172,AI Product Manager,MI,178,15
173,AI Specialist,EX,219,19
174,AI Software Engineer,SE,159,9
175,Deep Learning Engineer,EN,225,8
176,AI Software Engineer,SE,192,8
177,AI Software Engineer,MI,7,4
